"Average greedy latency,",mask/active_rate,mask/forced_rate,mask/all_invalid_rate,policy/invalid_action_rate,policy/argmax_masked_rate,policy/entropy_valid,critic/value_abs_max,inner_update_mode,PolicyExecTime,EnvExecTime,AverageDiscountedReturn,AverageReturn,NumTrajs,StdReturn,MaxReturn,MinReturn,"Average energy,",Itr,"Average reward, ","Average latency,",split_role,seed,split_version,support_graphs_per_meta_task,support_trajectories_per_meta_task,query_graph_count,k_steps,outer_update_count,entropy_coefficient,value_clip_epsilon,ppo_batch_size_trajectories,meta_batch_size_distributions,inner_learning_rate,outer_learning_rate,outer_update_method,hyperparameter_provenance.policy,validation_query_composite_objective_k0,validation_query_composite_objective,validation_query_mean_latency_k0,validation_query_mean_latency_k3,checkpoint_selection_metric,checkpoint_is_best_val
613.8712567111834,0.0,0.0,0.0,0.0,0.0,0.05045554040709404,0.8582435250282288,publication,37.13242030143738,70.03003573417664,0.8700421096596932,0.9486880372874748,10000,0.08855155293845803,1.0827167404143352,0.6081234011194071,65.04105531465711,20,0.9486880372874748,627.9134819320133,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,21,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
594.7118542181423,0.0,0.0,0.0,0.0,0.0,0.04784623540079758,0.8124865889549255,publication,36.15702199935913,69.05805683135986,0.8828967859312592,0.9622479575647365,10000,0.07731015548861768,1.0827167404143352,0.6514722608287805,60.20064663181125,21,0.9622479575647365,597.5311495927278,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,22,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
606.2404059611729,0.0,0.0,0.0,0.0,0.0,0.04542847230764853,0.9093761444091797,publication,36.59443688392639,69.0904905796051,0.8757473036782106,0.9545395136011006,10000,0.07482591343393595,1.083719008968831,0.622342541197713,69.30814884547534,22,0.9545395136011006,613.057927226944,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,23,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
600.7430363286563,0.0,0.0,0.0,0.0,0.0,0.03904268358371024,1.0637893676757812,publication,36.7200767993927,69.34268569946289,0.8724388290798557,0.9533040976333313,10000,0.08212165922980176,1.0787125489450702,0.534615257651342,76.70128165658116,23,0.9533040976333313,573.2118489906721,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,24,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
630.4947095779964,0.0,0.0,0.0,0.0,0.0,0.04665547104326577,1.0314021110534668,publication,37.08318018913269,69.61977028846741,0.852286476738815,0.9298314987018972,10000,0.08813810776553134,1.0896422730966202,0.44053412234804423,89.94833756163118,24,0.9298314987018972,662.1722310178279,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,25,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
627.9743966818945,0.0,0.0,0.0,0.0,0.0,0.056984457733342805,0.9344437122344971,publication,32.83377981185913,68.03524112701416,0.8620667368270113,0.939388884663398,10000,0.08898627609571112,1.0896422730966202,0.6114289124889648,70.7732494497243,25,0.939388884663398,647.3960920478917,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,26,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
611.791700007929,0.0,0.0,0.0,0.0,0.0,0.057855374358294055,0.9463894367218018,publication,34.051602363586426,68.26497220993042,0.8657586404825326,0.9436820000051808,10000,0.08352087765704994,1.0811467714495175,0.624947951110262,68.21222478646496,26,0.9436820000051808,621.9550341247709,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,27,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
600.3270218562943,0.0,0.0,0.0,0.0,0.0,0.05966523966144393,0.9870489835739136,publication,30.34634256362915,66.57038760185242,0.8760828237043272,0.9538487762168179,10000,0.08730545820332605,1.0827167404143352,0.5758293693677164,72.27177918242673,27,0.9538487762168179,597.964828055266,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,28,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
610.0995547912734,0.0,0.0,0.0,0.0,0.0,0.059153694005287145,1.056675910949707,publication,36.48573040962219,70.43032717704773,0.8643422249941094,0.9410347830211827,10000,0.08408116605998131,1.078007433305869,0.617160800372577,73.44344081819354,28,0.9410347830211827,631.8390303596592,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,29,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
615.9092620884622,0.0,0.0,0.0,0.0,0.0,0.05728049761077755,1.152933955192566,publication,31.653359413146973,67.07797741889954,0.8586292523008471,0.9336230700749812,10000,0.0959099046793883,1.1035767700017376,0.5362205651659699,87.15689311639905,29,0.9336230700749812,644.4175516047927,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,30,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
